itemid,label,linksto
497,Patient controlled analgesia (PCA) [Inject],chartevents
498,PCA Lockout (Min),chartevents
499,PCA Medication,chartevents
500,PCA Total Dose,chartevents
501,PCV Exh Vt (Obser),chartevents
927,Allergy 2,chartevents
930,Ext,chartevents
935,Allergy 3,chartevents
938,blood cultures,chartevents
940,trach care,chartevents
941,urine culture,chartevents
942,BLOOD CULTURES,chartevents
944,Chest PT,chartevents
946,STV,chartevents
956,CPT,chartevents
964,THAM CC/HR,chartevents
968,EKG,chartevents
970,TRACH CARE,chartevents
972,passy muir valve,chartevents
977,TRACHE CARE,chartevents
981,dilaudid,chartevents
983,LEECH THERAPY,chartevents
986,ABG Hct,chartevents
987,Clot to Blood Bank,chartevents
993,bladder pressure,chartevents
996,BLADDER PRESSURE,chartevents
1000,cisatricurium,chartevents
1001,rotation,chartevents
1003,cuff pressure,chartevents
1010,High exhaled min vol,chartevents
1011,urine osmolarity,chartevents
1015,PASSY MUIR VALVE,chartevents
1019,THIGH HI TEDS,chartevents
1022,Trach care,chartevents
1023,cisatra mcg/kg/min,chartevents
1027,abdominal binder,chartevents
1028,Cisatracurium,chartevents
1029,INCENTIVE SPIROMETER,chartevents
1032,Hi/minute/vol/alarm,chartevents
1034,RA SAT,chartevents
1035,WEDGE SAT,chartevents
1036,protonics,chartevents
1037,O2 %,chartevents
1038,Hi/minute/vols alarm,chartevents
1039,MDI #4,chartevents
1040,BIpap FIO2,chartevents
1041,flap doppler,chartevents
1042,acetomenophen,chartevents
1043,Less Restrict Meas.,chartevents
1044,Pain Level,chartevents
1045,Pain Level/Response,chartevents
1046,Pain Present,chartevents
1047,Range of Motion,chartevents
1048,zzzn Management,chartevents
1049,AICD,chartevents
1050,left thigh hematoma,chartevents
1051,passy-muir valve,chartevents
1052,rocuronium,chartevents
1053,bed/bath linen,chartevents
1054,protonix,chartevents
1055,Hi/Minute/vol/alarm,chartevents
1056,chest pt,chartevents
1057,edema,chartevents
1058,foley cath. care,chartevents
1059,shampoo hair,chartevents
1060,ammonia,chartevents
1061,mulitpodis boots,chartevents
1062,PMV on/off,chartevents
1063,bath,chartevents
1066,shave,chartevents
1067,apnea test,chartevents
1069,seizure activity,chartevents
1070,shampoo,chartevents
1077,HAIR WASHED,chartevents
1078,BATH,chartevents
1079,INV#1Chg o/Wire Date,chartevents
1080,INV#2Chg o/Wire Date,chartevents
1081,INV#3Chg o/Wire Date,chartevents
1082,INV#4Chg o/Wire Date,chartevents
1083,INV#5Chg o/Wire Date,chartevents
1084,INV#6Chg o/Wire Date,chartevents
1085,INV#7Chg o/Wire Date,chartevents
1086,INV#8Chg o/Wire Date,chartevents
1087,Pain Assess Method,chartevents
1089,PainLevel Acceptable,chartevents
1090,Ramsey SedationScale,chartevents
1091,Trach Insert Date,chartevents
1092,zzzzz Date,chartevents
1093,coccyx drsg change,chartevents
1094,PODUS BOOT,chartevents
1095,cuff leak present,chartevents
1096,Auto-PEEP level,chartevents
1097,Pantoprazole  mg/hr,chartevents
1098,cisatracurium mg/kg,chartevents
1099,tegretol,chartevents
1100,PRESSURE BAG R.GROIN,chartevents
1101,PROTONIX,chartevents
1102,high exhaled min vol,chartevents
1103,cvp,chartevents
1104,HI/Minute/vol/alarm,chartevents
1106,Meperidine mg/hr,chartevents
1107,DEMEROL DRIP,chartevents
1108,mucomyst,chartevents
1110,drsg change,chartevents
1111,PEG TUBE DRESSING,chartevents
1112,l/r heel drsg change,chartevents
1113,sacral drsg change,chartevents
1114,FOLLOWS CONSISTENTLY,chartevents
1115,passey muir valve,chartevents
1116,passey-muir valve,chartevents
1117,PASSEY MUIR VALVE,chartevents
1118,multipodus boot,chartevents
1119,seizure pads,chartevents
1120,trach,chartevents
1121,HI/Minute/Vol/Alarm,chartevents
1122,lepirudin,chartevents
1123,dsg change to coccyx,chartevents
1124,NESIRITIDE,chartevents
1125,Service Type,chartevents
1133,Multi-podis boots,chartevents
1134,pad change,chartevents
1135,PAD CHANGE,chartevents
1136,vasopressin,chartevents
1162,BUN,chartevents
1165,Hgb,chartevents
1187,demerol,chartevents
1188,dressing change,chartevents
1189,finger stick,chartevents
1190,natrecor mcg/kg/min,chartevents
1191,Glucometer,chartevents
1192,Pericardial Pressure,chartevents
1193,L. ARM SLING,chartevents
1194,natrecor,chartevents
1195,HFI Bias Flow:,chartevents
1196,HFO % I time,chartevents
1197,HFO Amplitude,chartevents
1198,HFO Frq. (Hz),chartevents
1199,HFO MAP,chartevents
1200,High MAP Alarm,chartevents
1201,Low MAP alarm,chartevents
1202,bathed,chartevents
1203,fleets enema,chartevents
1204,Bias Flow,chartevents
1205,HFO Amplitude deta P,chartevents
1206,HFO FIO2:,chartevents
1207,HFO Hz:,chartevents
1208,HFO max pres. alarm,chartevents
1209,HFO mean airway Pres,chartevents
502,PCV Insp Vt (Obser),chartevents
503,PCV Set Insp. Press,chartevents
504,PCWP,chartevents
505,PEEP,chartevents
506,PEEP Set,chartevents
507,PIP,chartevents
508,PT Splint #1 [Location],chartevents
509,PT Splint #2 [Location],chartevents
510,PT Splint #3 [Location],chartevents
511,PT Splint #4 [Location],chartevents
512,PVR,chartevents
513,PVRI,chartevents
515,Pacemaker Mode,chartevents
516,Pacemaker Type,chartevents
517,Pacer Rate,chartevents
518,Pacer Wire Condition,chartevents
519,Pacer Wires Atrial,chartevents
520,Pacer Wires Ground,chartevents
521,Pacer Wires Vent,chartevents
522,Pain Cause,chartevents
523,Pain Level (Movemnt),chartevents
524,Pain Level (Rest),chartevents
525,Pain Location,chartevents
526,Pain Management [Route/Status #1],chartevents
527,Pain Type,chartevents
529,Pause Time %,chartevents
530,Peak Flow,chartevents
531,Peak Flow % (pred),chartevents
532,Peak Flow (Calc),chartevents
533,Peak Flow (Pred),chartevents
534,Peak Flow (actual),chartevents
535,Peak Insp. Pressure,chartevents
536,Peri Care,chartevents
537,Pericard Drain Site,chartevents
538,Pericard Drain Stat,chartevents
539,Pericardial Drainage,chartevents
541,PetCO2/TcCO2,chartevents
542,Pin Care,chartevents
543,Plateau Pressure,chartevents
544,Plateau Time (7200),chartevents
545,Plateau-Off,chartevents
546,Popliteal Pulse [Right],chartevents
547,Position,chartevents
548,Position Change,chartevents
549,PostTib. Pulses [Right],chartevents
550,Precautions,chartevents
551,Pressure Sore #1 [Stage],chartevents
552,Pressure Sore #2 [Stage],chartevents
553,Pressure Sore #3 [Stage],chartevents
554,Press Sore Site #2,chartevents
555,PressSore Depth #1,chartevents
556,PressSore Depth #2,chartevents
557,PressSore Depth #3,chartevents
558,Pressure Sore #1 [Drainage],chartevents
559,Pressure Sore #2 [Drainage],chartevents
560,Pressure Sore #3 [Drainage],chartevents
561,Pressure Sore #1 [Width],chartevents
562,Pressure Sore #2 [Width],chartevents
563,Pressure Sore #3 [Width],chartevents
564,PressSoreCleansing#1,chartevents
565,PressSoreCleansing#2,chartevents
566,PressSoreCleansing#3,chartevents
567,PressSoreTreatment#1,chartevents
568,PressSoreTreatment#2,chartevents
569,PressSoreTreatment#3,chartevents
570,PressSoreWoundBase#1,chartevents
571,PressSoreWoundBase#2,chartevents
572,PressSoreWoundBase#3,chartevents
573,Pressure Sore Odor#1,chartevents
574,Pressure Sore Odor#2,chartevents
575,Pressure Sore Odor#3,chartevents
576,Pressure Sore Site#1,chartevents
577,Pressure Sore Site#3,chartevents
578,Pressure Support,chartevents
579,PressureReduceDevice,chartevents
580,Previous Weight,chartevents
581,Previous WeightF,chartevents
582,Procedures,chartevents
583,Pulses Paradoxus,chartevents
584,Pupil Response [Right],chartevents
585,Pupil Size [Right],chartevents
586,QTc,chartevents
587,Qs/Qt,chartevents
588,RCW,chartevents
589,RCWI,chartevents
590,RL Strength/Movement,chartevents
591,RLE [Temperature],chartevents
592,RLE [Sensation],chartevents
593,RLL Lung Sounds,chartevents
594,ROM [Type],chartevents
595,RSBI (<200),chartevents
596,RU Strength/Movement,chartevents
597,RUE [Temperature],chartevents
598,RUE [Sensation],chartevents
599,RUL Lung Sounds,chartevents
600,RVAD Flow LPM,chartevents
601,RVSW,chartevents
602,RVSWI,chartevents
603,Radial Pulse [Right],chartevents
604,Radiologic Study,chartevents
605,Reason For Restraint,chartevents
606,Rec. Breath Pressure,chartevents
607,Rec.Breath Time(sec),chartevents
608,Recruit Breath,chartevents
609,Remote Alarm,chartevents
610,Removed x 5 Mins,chartevents
611,Replace Rate ml/hr,chartevents
612,Replace.Fluid Infuse,chartevents
613,Resp Quotient - (R),chartevents
614,Resp Rate (Spont),chartevents
615,Resp Rate (Total),chartevents
616,Respiratory Effort,chartevents
617,Respiratory Pattern,chartevents
618,Respiratory Rate,chartevents
1435,Sustained Nystamus,chartevents
1436,Tactile Disturbances,chartevents
1437,Tremor,chartevents
1438,Ulnar Pulse [Right],chartevents
1439,Visual Disturbances,chartevents
1447,Transpulmonary Pres,chartevents
1448,Vd/Vt:,chartevents
1449,Arterial BP(Rad),chartevents
1450,level one,chartevents
1451,L girth size,chartevents
1452,#1 chest tube irrig.,chartevents
1453,CT DRSG,chartevents
1454,r hips drsg change,chartevents
1455,fingerstick glucose,chartevents
1456,popliteal pulse r/l,chartevents
1457,CPAP,chartevents
1458,L ankle dsg change,chartevents
1459,gluteral drsg change,chartevents
1460,D5W 100meq NaHC03,chartevents
1462,wrist  restraints,chartevents
1463,pad count,chartevents
1464,ZZZly Wake Up,chartevents
1465,Back Dsg,chartevents
1466,ATC,chartevents
1467,Pericare,chartevents
1468,HI/Minute/Vol/alarm,chartevents
1,% Inspir. Time,chartevents
2,ABI (L),chartevents
3,ABI (R),chartevents
4,ABI Ankle BP [Right],chartevents
5,ABI Brachial BP [Right],chartevents
6,ABP [Systolic],chartevents
24,ART Lumen Volume,chartevents
25,AV Interval,chartevents
26,AaDO2,chartevents
27,Abdominal Assessment,chartevents
28,Abdominal Girth,chartevents
29,Access mmHg,chartevents
31,Activity,chartevents
32,Activity Tolerance,chartevents
34,Add Gas Flow (Vent),chartevents
35,Additional Gas (lpm),chartevents
36,Additional Gas(Mask),chartevents
37,Additional Gas(Vent),chartevents
38,Airway,chartevents
39,Airway Size,chartevents
40,Airway Type,chartevents
41,Alarms Activated,chartevents
43,Angio Appearance #1 [Attribute 1],chartevents
44,Angio Appearance #2 [Attribute 1],chartevents
45,Angio Dressing #1,chartevents
46,Angio Dressing #2,chartevents
47,Angio Site #1,chartevents
48,Angio Site #2,chartevents
49,Anti-Embolism [Device],chartevents
50,Apnea Time Interval,chartevents
51,Arterial BP [Systolic],chartevents
52,Arterial BP Mean,chartevents
53,Arterial Pressure,chartevents
54,Assistance Device,chartevents
55,Assisted Systole,chartevents
56,Atrial Pacemaker [Sense],chartevents
57,Atrial Pacemaker Threshold [Unit],chartevents
58,Atrial Pacemaker [mA],chartevents
59,Augmented Diastole,chartevents
60,Auto-PEEP Level,chartevents
61,AvDO2,chartevents
62,BAEDP,chartevents
63,BIPAP - BPM,chartevents
64,BIPAP - EPAP,chartevents
65,BIPAP - Est. Vt,chartevents
66,BIPAP - IPAP,chartevents
67,BIPAP - O2 lpm,chartevents
68,BIPAP-Mode,chartevents
69,BSA,chartevents
70,BSA - English,chartevents
71,BSA - Metric,chartevents
72,Back Care,chartevents
74,Base Excess,chartevents
75,Baseline Current/mA,chartevents
76,Bath,chartevents
77,Behavior,chartevents
78,Bladder Irrigation,chartevents
79,Blood Flow ml/min,chartevents
80,Bowel Sounds,chartevents
81,Brachial Pulse [Right],chartevents
82,Braden Activity,chartevents
83,Braden Frict/Shear,chartevents
84,Braden Mobility,chartevents
85,Braden Moisture,chartevents
86,Braden Nutrition,chartevents
87,Braden Score,chartevents
88,Braden SensoryPercep,chartevents
89,C.O. (fick),chartevents
90,C.O.(thermodilution),chartevents
91,CPM,chartevents
92,CPP,chartevents
93,CT #1 Crepitus,chartevents
94,CT #1 Drainage,chartevents
95,CT #1 Dressing,chartevents
96,CT #1 [Fluctuate],chartevents
97,CT #1 Suction Amount,chartevents
98,CT #2 Crepitus,chartevents
99,CT #2 Drainage,chartevents
100,CT #2 Dressing,chartevents
101,CT #2 [Fluctuate],chartevents
102,CT #2 Suction Amount,chartevents
103,CT #3 Crepitus,chartevents
104,CT #3 Drainage,chartevents
105,CT #3 Dressing,chartevents
106,CT #3 [Fluctuate],chartevents
107,CT #3 Suction Amount,chartevents
108,CT #4 Crepitus,chartevents
109,CT #4 Drainage,chartevents
110,CT #4 Dressing,chartevents
111,CT #4 [Fluctuate],chartevents
112,CT #4 Suction Amount,chartevents
113,CVP,chartevents
114,CaO2,chartevents
115,Capillary Refill [Right],chartevents
116,Cardiac Index,chartevents
117,Catheter Insert Date,chartevents
118,Cerv Collar Status,chartevents
119,Cervical Collar Type,chartevents
121,Chest PT [Right],chartevents
122,Chest Tube Site #1,chartevents
123,Chest Tube Site #2,chartevents
124,Chest Tube Site #3,chartevents
125,Chest Tube Site #4,chartevents
127,Circulation/SkinInt,chartevents
128,Code Status,chartevents
129,Collar Care,chartevents
130,Communication,chartevents
131,Compliance (40-60ml),chartevents
132,Compliance-Corrected,chartevents
133,Cont.Nebulizer(Drug),chartevents
134,Cooling [Device],chartevents
135,Corneal Reflex [Right],chartevents
136,Cough Effort,chartevents
137,Cough Reflex,chartevents
138,Cough Type,chartevents
139,Cough/Deep Breathe,chartevents
140,Cuff Leak,chartevents
141,Cuff Pressure-Airway,chartevents
142,Current Goal,chartevents
143,CvO2,chartevents
146,Dialysate Flow ml/hr,chartevents
147,Dialysate Infusing,chartevents
148,Dialysis Access Site,chartevents
149,Dialysis Access Type,chartevents
150,Dialysis Machine,chartevents
151,Dialysis Site Appear,chartevents
152,Dialysis Type,chartevents
153,Diastolic Unloading,chartevents
154,Diet Type,chartevents
155,Doppler BP,chartevents
156,Dorsal PedPulse [Right],chartevents
157,ETT [Mark],chartevents
158,ETT Position Change,chartevents
159,Ectopy Frequency,chartevents
160,Ectopy Frequency 2,chartevents
161,Ectopy Type,chartevents
162,Ectopy Type 2,chartevents
163,Edema #1 [Location],chartevents
164,Edema #2 [Location],chartevents
165,Education Barrier,chartevents
166,Education Handout,chartevents
167,Education Learner,chartevents
168,Education Method,chartevents
169,Education Readiness,chartevents
170,Education Response,chartevents
171,Education Topic #1,chartevents
172,Education Topic #2,chartevents
173,Effluent Press mmHg,chartevents
174,Emesis [Appearance],chartevents
175,Energy Expenditure,chartevents
176,Epi Infusion Rate,chartevents
177,Epidural Appearance,chartevents
178,Epidural Bolus,chartevents
179,Epidural Location,chartevents
180,Epidural Medication,chartevents
181,Epidural Total Dose,chartevents
182,Extubation Date,chartevents
183,Eye Care,chartevents
184,Eye Opening,chartevents
185,FIO2 Alarm-High,chartevents
186,FIO2 Alarm-Low,chartevents
187,Family Communication,chartevents
188,Femoral Pulse [Right],chartevents
189,FiO2 (Analyzed),chartevents
190,FiO2 Set,chartevents
191,FiO2/O2 Delivered,chartevents
192,Filter Pressure mmHg,chartevents
193,Flatus,chartevents
194,Flow-By (lpm),chartevents
195,Flow-by Sensitivity,chartevents
196,Foley Care,chartevents
197,Follows Commands,chartevents
198,GCS Total,chartevents
199,GI [Guaiac],chartevents
200,GI Intub #1 [Type],chartevents
201,GI Intub #2 [Type],chartevents
202,GI#1 Tube PlaceCheck,chartevents
203,GI#1 Tube [Status],chartevents
204,GI#2 Tube PlaceCheck,chartevents
205,GI#2 Tube [Status],chartevents
206,GU Cath Insert Date,chartevents
207,GU Catheter Size,chartevents
208,Gag Reflex,chartevents
